"4b677faf52f7aa0c01c0","aip","00 07 ? * FRI *"
"232cc0f83321d5bb89ca","arag","00 07 ? * FRI *"
"7d27de8121bfc20e543b","daily","00 07 * * ? *"
"d6bb3d7acc3753e66a74","aetna","00 07 ? * THU *"
"e959e382e5a172703018","cigna","00 07 ? * THU *"
"fea00d00eac0eff09778","compsych","00 07 ? * THU *"
"03b7bc9a70fbeb7c7364","delta_dental","00 07 ? * THU *"
"24ef7af934002b1592a8","safetyskills","00 07 ? * THU *"
"4f143fa15d318bc83016","monthly","00 09 1 * ? *"
"3451e774606408ed7f94","aclara","00 07 ? * MON-FRI *"
"0448eee03e392b161025","paymentus_cif","00 23 ? * MON-FRI *"
"d232dae77b602a562484","paymentus_payment_history","15 22 ? * MON-FRI *"
"a48c5c6f78eb301ab0a9","paymentus_suspended_accounts","30 22 ? * MON-FRI *"
"8731f420f6ebb86a5dc2","paymentus_paper_suppression","00 12 ? * * *"
"4b7a0c106ec6c649bf81","vxsmart_balances","00 08 ? * * *"
"31f3e605601e7f9cb938","notactive","00 00 * * ? 1999"
"e7bbb83d385013e19927","every15","* * * * ? *"
